0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 
0.0367 0.0367 0.0367 0.0367 0.0367 0.0367 0.0367 0.0367 0.0367 0.0367 0.0367 0.0367 0.0367 0.0367 0.0367 0.0367 0.0367 0.0367 0.0367 0.0367 0.0367 0.0367 0.0367 0.0367 0.0367 0.0367 0.0367 0.0367 0.321012 0.0367 0.328199 0.0367 
0.0577 0.0577 0.0577 0.0577 0.0577 0.0577 0.0577 0.0577 0.0577 0.0577 0.0577 0.0577 0.0577 0.0577 0.0577 0.0577 0.0577 0.0577 0.0577 0.0577 0.0577 0.0577 0.0577 0.0577 0.0577 0.0577 0.0577 0.0577 0.0577 0.0577 0.0577 0.0577 
0.1177 0.1177 0.1177 0.1177 0.1177 0.1177 0.1177 0.1177 0.1177 0.1177 0.1177 0.1177 0.1177 0.1177 0.1177 0.1177 0.1177 0.1177 0.1177 0.1177 0.1177 0.1177 0.1177 0.1177 0.1177 0.1177 0.1177 0.1177 0.1177 0.1177 0.1177 0.1177 
0.1436 0.1436 0.1436 0.1436 0.1436 0.1436 0.1436 0.1436 0.1436 0.1436 0.1436 0.1436 0.1436 0.1436 0.1436 0.1436 0.1436 0.1436 0.1436 0.1436 0.1436 0.1436 0.1436 0.1436 0.1436 0.1436 0.1436 0.1436 0.1436 0.1436 0.1436 0.1436 
0.191 0.191 0.191 0.191 0.191 0.191 0.191 0.191 0.191 0.191 0.191 0.191 0.191 0.191 0.191 0.191 0.191 0.191 0.191 0.191 0.191 0.191 0.191 0.191 0.191 0.191 0.191 0.191 0.191 0.191 0.191 0.191 
0.2386 0.2386 0.2386 0.2386 0.2386 0.2386 0.2386 0.2386 0.2386 0.2386 0.2386 0.2386 0.2386 0.2386 0.2386 0.2386 0.2386 0.2386 0.2386 0.2386 0.2386 0.2386 0.2386 0.2386 0.2386 0.2386 0.2386 0.2386 0.2386 0.2386 0.2386 0.2386 
0.294 0.294 0.294 0.294 0.294 0.294 0.294 0.294 0.294 0.294 0.294 0.294 0.294 0.294 0.294 0.294 0.294 0.294 0.294 0.294 0.294 0.294 0.294 0.294 0.294 0.294 0.294 0.294 0.294 0.294 0.294 0.294 
0.3512 0.3512 0.3512 0.3512 0.3512 0.3512 0.3512 0.3512 0.3512 0.3512 0.3512 0.3512 0.3512 0.3512 0.3512 0.3512 0.3512 0.3512 0.3512 0.3512 0.3512 0.3512 0.3512 0.3512 0.3512 0.3512 0.3512 0.3512 0.3512 0.3512 0.3512 0.3512 
0.3903 0.3903 0.3903 0.3903 0.3903 0.3903 0.3903 0.3903 0.3903 0.3903 0.3903 0.3903 0.3903 0.3903 0.3903 0.3903 0.3903 0.3903 0.3903 0.3903 0.3903 0.3903 0.3903 0.3903 0.3903 0.3903 0.3903 0.3903 0.3903 0.3903 0.3903 0.3903 
0.4284 0.4284 0.4284 0.4284 0.4284 0.4284 0.4284 0.4284 0.4284 0.4284 0.4284 0.4284 0.4284 0.4284 0.4284 0.4284 0.4284 0.4284 0.4284 0.4284 0.4284 0.4284 0.4284 0.4284 0.4284 0.4284 0.4284 0.4284 0.4284 0.4284 0.4284 0.4284 
0.4885 0.4885 0.4885 0.4885 0.4885 0.4885 0.4885 0.4885 0.4885 0.4885 0.4885 0.4885 0.4885 0.4885 0.4885 0.4885 0.4885 0.4885 0.4885 0.4885 0.4885 0.4885 0.4885 0.4885 0.4885 0.4885 0.4885 0.4885 0.4885 0.4885 0.4885 0.4885 
0.5412 0.5412 0.5412 0.5412 0.5412 0.5412 0.5412 0.5412 0.5412 0.5412 0.5412 0.5412 0.5412 0.5412 0.5412 0.5412 0.5412 0.5412 0.5412 0.5412 0.5412 0.5412 0.5412 0.5412 0.5412 0.5412 0.5412 0.5412 0.5412 0.5412 0.5412 0.5412 
0.549197 0.556239 0.587312 0.594867 0.594742 0.594888 0.594926 0.594925 0.594608 0.587679 0.574636 0.556296 0.554295 0.556728 0.564904 0.565078 0.564606 0.564973 0.570417 0.560962 0.565666 0.561579 0.566069 0.56652 0.570378 0.565214 0.564669 0.561882 0.557595 0.552744 0.549723 0.547441 
0.607401 0.610351 0.614935 0.639626 0.645246 0.645096 0.645088 0.645119 0.643491 0.618082 0.615417 0.61129 0.612171 0.61611 0.62048 0.626903 0.62625 0.628593 0.629834 0.628737 0.627323 0.629935 0.628859 0.631325 0.631269 0.632653 0.625409 0.619191 0.614456 0.611585 0.608555 0.607687 
0.596372 0.593725 0.587904 0.593943 0.62771 0.639107 0.638923 0.627236 0.597675 0.5903 0.59154 0.595553 0.596711 0.596902 0.596012 0.609236 0.609065 0.609291 0.61413 0.614766 0.614327 0.617136 0.620047 0.620152 0.623144 0.611304 0.603145 0.599493 0.599273 0.598197 0.598396 0.597621 
0.658281 0.654754 0.646094 0.641965 0.652733 0.659248 0.659926 0.654317 0.645459 0.648548 0.651441 0.656777 0.659205 0.65712 0.654833 0.662008 0.66743 0.665917 0.672612 0.674543 0.673351 0.673496 0.675158 0.678977 0.67043 0.662664 0.658034 0.656768 0.657491 0.659895 0.660122 0.661866 
0.660236 0.657315 0.646899 0.635414 0.630908 0.630236 0.632146 0.632498 0.639559 0.648187 0.652143 0.659297 0.659055 0.655465 0.654984 0.656777 0.662321 0.66318 0.670649 0.672064 0.671423 0.677423 0.670427 0.665475 0.656092 0.662413 0.654553 0.659164 0.661487 0.661692 0.664602 0.66429 
0.713521 0.712498 0.70503 0.692934 0.682715 0.679473 0.681588 0.68514 0.696606 0.70576 0.708928 0.712635 0.712202 0.707765 0.711664 0.711763 0.7156 0.717658 0.715428 0.710415 0.703741 0.712775 0.712639 0.705721 0.705018 0.710627 0.715445 0.716625 0.716442 0.718191 0.716124 0.716545 
0.709082 0.708479 0.702102 0.695402 0.68425 0.682421 0.68408 0.690323 0.700582 0.70887 0.709604 0.712807 0.708709 0.705401 0.705997 0.704023 0.707546 0.715789 0.710677 0.691712 0.69513 0.701857 0.704521 0.705717 0.702467 0.718848 0.714451 0.716221 0.719338 0.712925 0.711025 0.708751 
0.72468 0.722416 0.718236 0.712995 0.710521 0.705757 0.711443 0.711428 0.71919 0.720553 0.72427 0.723058 0.72179 0.719413 0.72248 0.718723 0.725617 0.734537 0.694838 0.698649 0.698974 0.700013 0.700171 0.702396 0.703813 0.700416 0.720689 0.71658 0.74519 0.73025 0.72918 0.724154 
0.734585 0.731652 0.732138 0.731465 0.729164 0.73021 0.731839 0.735265 0.733953 0.736311 0.735696 0.733275 0.72938 0.727952 0.727156 0.722 0.72658 0.717359 0.709356 0.717694 0.721378 0.716246 0.715787 0.718309 0.717292 0.712558 0.719672 0.723558 0.723799 0.735409 0.732612 0.733379 
0.731916 0.732544 0.731827 0.732534 0.731817 0.731137 0.731805 0.734105 0.734858 0.73665 0.734095 0.731806 0.727382 0.727099 0.725016 0.722092 0.720812 0.719283 0.731421 0.743263 0.746335 0.740564 0.738329 0.748519 0.743215 0.738208 0.732126 0.736392 0.727154 0.730654 0.733046 0.730458 
0.756983 0.756612 0.755905 0.760683 0.757855 0.756422 0.755883 0.758383 0.762281 0.763414 0.760142 0.758269 0.75841 0.757406 0.75529 0.752258 0.749554 0.753989 0.769264 0.77921 0.773977 0.769457 0.770035 0.768861 0.775802 0.767979 0.767052 0.76398 0.755666 0.754298 0.754941 0.760021 
0.780702 0.782295 0.782627 0.784687 0.78065 0.779826 0.77879 0.780591 0.784744 0.787243 0.782934 0.778806 0.781234 0.782033 0.779902 0.777149 0.773714 0.777939 0.789876 0.792716 0.79515 0.796547 0.797948 0.800652 0.807238 0.804015 0.796645 0.793155 0.784249 0.779173 0.784396 0.782271 
0.813217 0.817088 0.812841 0.807538 0.801098 0.802022 0.797863 0.799423 0.799446 0.79889 0.809046 0.805667 0.804218 0.805738 0.802095 0.799719 0.796437 0.800597 0.80392 0.809153 0.795283 0.794941 0.798088 0.797651 0.820754 0.819181 0.81809 0.813901 0.814591 0.810769 0.812438 0.8149 
0.846714 0.845861 0.819169 0.816208 0.816002 0.815304 0.81462 0.814591 0.817658 0.816598 0.819622 0.831936 0.828496 0.82956 0.832002 0.830531 0.832819 0.831798 0.839062 0.811907 0.811895 0.812482 0.814526 0.814168 0.817969 0.852965 0.848287 0.847375 0.844509 0.84516 0.848256 0.845974 
0.850413 0.845572 0.847161 0.849316 0.851911 0.850618 0.852176 0.850996 0.854897 0.851917 0.849026 0.845486 0.84855 0.850161 0.853483 0.852322 0.850582 0.849182 0.843369 0.841327 0.849583 0.853882 0.859048 0.853295 0.846756 0.848755 0.85179 0.848767 0.846595 0.849032 0.85017 0.851115 
0.856553 0.853799 0.859928 0.85987 0.864084 0.862363 0.865243 0.864341 0.865276 0.862427 0.857661 0.852051 0.854384 0.856289 0.856725 0.856508 0.853577 0.852127 0.848215 0.854927 0.860787 0.866593 0.869574 0.866262 0.858473 0.852112 0.852889 0.853964 0.853838 0.853754 0.857741 0.854983 
0.914317 0.911818 0.918873 0.922653 0.926317 0.92521 0.926928 0.925922 0.924919 0.921523 0.916264 0.91369 0.916475 0.918988 0.917972 0.917709 0.914952 0.910662 0.907494 0.915009 0.921934 0.926643 0.928203 0.926194 0.917037 0.908422 0.908145 0.907915 0.907632 0.911367 0.912082 0.914003 
0.961053 0.96196 0.967928 0.967741 0.971173 0.971304 0.972533 0.970979 0.969407 0.965849 0.959752 0.958269 0.958845 0.961649 0.960555 0.960036 0.957547 0.952799 0.951889 0.958799 0.965015 0.967502 0.969783 0.966697 0.959748 0.951182 0.949647 0.952806 0.953577 0.955754 0.959593 0.958944 
1.05661 1.05631 1.0588 1.06103 1.06263 1.06311 1.06311 1.06146 1.05898 1.05858 1.05414 1.05446 1.05534 1.05766 1.05688 1.05561 1.0536 1.04741 1.04594 1.04983 1.05435 1.05498 1.05651 1.05524 1.05018 1.04458 1.0458 1.04654 1.04715 1.05081 1.05236 1.05594 
1.11016 1.1116 1.11249 1.11053 1.11379 1.11371 1.11304 1.11058 1.10794 1.10686 1.10685 1.10579 1.1074 1.10787 1.10639 1.10594 1.10454 1.10172 1.09988 1.10161 1.1021 1.10166 1.10026 1.10048 1.0996 1.09817 1.09999 1.10354 1.10591 1.10608 1.10901 1.10763 
1.21381 1.21412 1.21356 1.21644 1.21792 1.21798 1.21601 1.21397 1.21014 1.20833 1.21059 1.21192 1.21472 1.21447 1.21478 1.21479 1.21464 1.21171 1.20849 1.20684 1.20413 1.20124 1.19871 1.19944 1.20097 1.20319 1.2076 1.20884 1.21259 1.21341 1.21266 1.21377 
1.28385 1.28514 1.28452 1.28455 1.28532 1.28826 1.28586 1.28439 1.2803 1.277 1.27973 1.28086 1.28364 1.28349 1.284 1.28568 1.28453 1.28605 1.28184 1.27935 1.27334 1.26981 1.2667 1.2669 1.2697 1.27434 1.27817 1.28356 1.28591 1.28478 1.28483 1.28231 
1.43376 1.4335 1.43273 1.43579 1.43507 1.44014 1.43865 1.43732 1.43326 1.43156 1.43408 1.43657 1.4394 1.43934 1.44045 1.4406 1.44029 1.44187 1.43873 1.43426 1.42881 1.42388 1.42147 1.42115 1.42343 1.42785 1.43374 1.43612 1.43609 1.43595 1.43312 1.43466 
1.55021 1.55107 1.55024 1.54854 1.54988 1.5507 1.55124 1.55016 1.54762 1.54724 1.55063 1.55213 1.55408 1.55364 1.55327 1.55302 1.5529 1.5528 1.55236 1.54792 1.54285 1.53755 1.53417 1.53502 1.53826 1.54267 1.54715 1.55108 1.55181 1.55091 1.55062 1.5491 
1.76251 1.76283 1.76175 1.76282 1.7612 1.75895 1.75779 1.75762 1.7561 1.75899 1.76362 1.76685 1.76838 1.76741 1.76638 1.76443 1.76334 1.75985 1.75921 1.75509 1.75127 1.74468 1.74115 1.74336 1.74725 1.75109 1.75634 1.75762 1.75951 1.76238 1.761 1.76346 
1.936 1.93745 1.93611 1.93296 1.9317 1.92639 1.92463 1.92442 1.92519 1.929 1.93513 1.93727 1.93808 1.9366 1.93386 1.93175 1.92913 1.9265 1.92606 1.92334 1.9192 1.91295 1.90869 1.91148 1.91615 1.92001 1.92325 1.92694 1.93003 1.93276 1.93484 1.93437 
2.18183 2.18265 2.18043 2.18102 2.17962 2.1773 2.17553 2.17535 2.17593 2.17938 2.18419 2.1865 2.18611 2.18492 2.1835 2.1801 2.17852 2.17695 2.17711 2.17576 2.17359 2.16824 2.16538 2.16734 2.17103 2.17294 2.17545 2.17557 2.17867 2.18151 2.18118 2.18235 
